Developer,Repo Name,Number of Stars
facebookresearch,pifuhd,676
corona-warn-app,cwa-server,"1,166"
nlohmann,json,"18,990"
adamian98,pulse,319
gadsden0,wikileaks-9-11-files,58
coolsnowwolf,lede,"10,951"
hashicorp,vault,"16,080"
corona-warn-app,cwa-verification-server,206
MicrosoftLearning,AZ-204-DevelopingSolutionsforMicrosoftAzure,233
DataDog,integrations-core,392
testcontainers,testcontainers-java,"3,849"
ARMmbed,mbed-os,"3,209"
astrit,css.gg,"4,941"
lydiahallie,javascript-questions,"20,174"
ifzhang,FairMOT,"1,370"
faker-ruby,faker,"8,663"
ARMmbed,mbedtls,"2,442"
SpiderLabs,ModSecurity,"3,588"
openai,gpt-3,"1,907"
mui-org,material-ui-pickers,"1,814"
argoproj,argo-cd,"3,194"
Alamofire,Alamofire,"33,718"
MicrosoftLearning,AZ-301-MicrosoftAzureArchitectDesign,347
Azure,azure-rest-api-specs,724
microsoftgraph,microsoft-graph-docs,586
